"NUMERO","TITULO","AUTOR","TEMA","EDITORIAL","COMENTARIO"
"382","Los Borgia","Mario Puzo","Novela historica","booket","2004-P"
"224","Un hijo del cielo","John Irving","Suspense","Circulo","1995-P"
"225","El regreso del rey Arturo","Cochran/ Murphy","Novela fantasia","Circulo","1995-P"
"226","La ultima confesion","Morris West","Novela","Circulo","2003-P"
"229","Hannibal","Thomas Sharris","Suspense","Circulo","2003-P"
"230","El testamento de Judas","Daniel Easterman","Novela","Circulo","1998-P"
"231","¿Arde Paris?","Dominique Lapierre/ Larry Collins","Novela","Circulo","1996-P"
"232","Los servidores del crepusculo","Dean R. Koontz","Suspense","Circulo","1991-P"
"233","El papiro de Saqqara","Pauline Gedge","Novela","Circulo","2003-P"
"234","El medico de Cordoba","Herbert Le Porrier","Novela historica","Circulo","2003-P"
"235","Relato de un naufrago","Gabriel Garcia Marquez","Novela","Circulo",""
"241","La casa Rusia","John Le Carre","Novela","Circulo",""
"242","Aprender a hablar en publico hoy","J.A. Vallejo-Najera","Divulgacion","Circulo","1992"
"244","Pasion de poder","Judith Michael","Romantica","Circulo","1992"
"245","Aves de presa","Wilbur Smith","Novela","Circulo","1998"
"246","La doncella dorada","Valerie Sherwood","Romantica","Circulo","1992"
"248","En tierras lejanas","Sara Donati","Romantica","Circulo","2001"
"251","La casa de los sueños","Pauline Gedge","Novela historica","Circulo","1998-P"
"252","Hijos de nuestro barrio","Naguib Mahfuz","Novela","booket","2003-P"
"253","India","V.S. Naipaul","Testimonio","De bolsillo","2003-P"
"254","El rabino","Noab Gordon","Novela","El Periodico","2000-P"
"255","El bonito crimen del carabinero","Camilo Jose Cela","Novela","Bruguera",""
"259","El coronel no tiene quien le escriba","Gabriel Garcia Marquez","Novela","Bruguera",""
"261","Miguel Angel","Heinrich Koch","Bibliografia","Salvat",""
"265","Cronica de una muerte anunciada","Gabriel Garcia Marquez","Novela","Seix Barral",""
"267","Punto critico","Michael Crichton","Novela","Plaza & Janes","2000.P"
"269","Los egipcios","Isaac Asimov","Novela historica","Alianza Editorial",""
"273","Te tratare como a una reina","Rosa Montero","Novela","Seix Barral",""
"2","Doce cuentos peregrinos","Gabriel Garcia Marquez","Novela","Plaza & Janes",""
"11","La luz de las palabras","Rafael Perez Estrada","Poesia","Junta de Andalucia",""
"13","El rey del mar","Emilio Salgari","Aventura","Ediciones Orbis",""
"25","Manual practico de plantas de interior","George Seddon","Divulgacion","Circulo",""
"29","La furia del amor","Johanna Lindsey","Romantica","Circulo","2001"
"30","Tres sombreros de copa/ Maribel y la extraña famil","Miguel Mihura","Teatro","Colección Austral",""
"31","El amigo Melquiades/ La señorita de Trevelez","Carlos Arniches","Teatro","Colección Austral",""
"32","Malvaloca/ Doña Clarines","S. y J. Alvarez Quintero","Teatro","Colección Austral",""
"33","La venganza de Don Mendo","Pedro Muñoz Seca","Teatro","Colección Austral",""
"36","Fahrenheit 451","Ray Bradbury","Ficcion","Biblioteca de Ciencia Ficcion",""
"38","Flores para Algernon","Daniel Reyes","Ficcion","Biblioteca de Ciencia Ficcion",""
"39","Estacion de transito","Clifford D. Simak","Ficcion","Biblioteca de Ciencia Ficcion",""
"41","Los amantes","Philip Jose Farmer","Ficcion","Biblioteca de Ciencia Ficcion",""
